Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-12-31,26.84687218202339,27.014970060050594,26.587717056274414,26.587717056274414,484800,0.0,0
2010-01-04,26.82585620929177,26.888893577444012,26.636744104835053,26.706787109375,836900,0.0,0
2010-01-05,26.587707891445575,26.720788226867324,26.300538332924976,26.678762435913086,942800,0.0,0
2010-01-06,26.6857695788537,26.79083273676432,26.566700493630954,26.629737854003906,656600,0.0,0
2010-01-07,26.65075592169981,26.81885648101301,26.538689772780252,26.776830673217773,753300,0.0,0
2010-01-08,26.61572443282567,26.818845076324166,26.566695680514528,26.783824920654297,789700,0.0,0
2010-01-11,26.895902976865294,27.092018073280958,26.7067908459497,27.085012435913086,514500,0.0,0
2010-01-12,26.98695476979893,27.16906393441881,26.881894256550034,26.972946166992188,664300,0.0,0
2010-01-13,27.070994096525016,27.26710910304849,26.88188205229171,27.106014251708984,949400,0.0,0
2010-01-14,27.078000455146956,27.309138317712062,26.91690558360169,27.288124084472656,700300,0.0,0
2010-01-15,27.24610572106469,27.309143088060427,27.16205411715879,27.16905975341797,1082200,0.0,0
2010-01-19,27.204085817564554,27.484252547595876,27.04299088295033,27.386192321777344,1018600,0.0,0
2010-01-20,27.274118359753597,27.295132595206972,26.853871056826733,26.888891220092773,988700,0.0,0
2010-01-21,26.951933751810525,27.218091853039645,26.685775650581405,26.72079849243164,904600,0.0,0
2010-01-22,26.7418025776004,26.97293777230687,26.671762257232853,26.692773818969727,904700,0.0,0
2010-01-25,26.615729700307217,27.190068916932898,26.615729700307217,26.82585334777832,873600,0.0,0
2010-01-26,26.804845809936523,26.937923516550473,26.692779669664898,26.804845809936523,588100,0.0,0
2010-01-27,26.83286413862904,26.91691307939179,26.461642862513905,26.657760620117188,764200,0.0,0
2010-01-28,26.713791800728618,26.713791800728618,26.440630745033708,26.587717056274414,882800,0.0,0
2010-01-29,26.66476261392934,26.74881155163047,26.37759296090522,26.3916015625,1033400,0.0,0
2010-02-01,26.51068192990721,26.692791156131225,26.419629988663893,26.66477394104004,680300,0.0,0
2010-02-02,26.755813581456977,27.421207372236946,26.664759019299588,27.414201736450195,1003700,0.0,0
